server,dataset_id,n_stations,years,n_onset,n_test,tp,fp,fn,base_rate,precision,pod,lift,lift_lo,lift_hi,auc,auc_lo,auc_hi,precision_lo,precision_hi,t_star
IOOS-Sensors,ism-gcoos-lumcon_101,1,4.5,844.0,844.0,138.0,205.0,84.0,0.26303317535545023,0.40233236151603496,0.6216216216216216,1.5295878969348355,1.3938504798581821,1.7247368234501825,0.6878928767996292,0.649270198827721,0.7339550587242278,0.30927835051546393,0.49097472924187724,0.4
IOOS-Sensors,ism-gcoos-lumcon_102,1,1.2,327.0,327.0,23.0,177.0,0.0,0.07033639143730887,0.115,1.0,1.635,1.6257668711656441,1.635,0.8079233409610984,0.7969816744520303,0.8079233409610984,0.0,0.1411042944785276,0.45
IOOS-Sensors,ism-gcoos-sccf_11,1,14.4,2437.0,2437.0,750.0,1583.0,7.0,0.31062782109150594,0.3214744963566224,0.9907529722589168,1.0349185569631292,1.0072230019735098,1.0756476051408883,0.7009663773038938,0.6418392137788943,0.7444739144086988,0.2507527167160684,0.39651457866997813,0.1
IOOS-Sensors,ism-gcoos-sccf_12,1,4.0,998.0,998.0,101.0,98.0,150.0,0.251503006012024,0.507537688442211,0.40239043824701193,2.0180183787463215,1.6619883040935675,2.675115207373272,0.7222568894435645,0.6841151385927505,0.750611881027636,0.4725274725274725,0.6,0.7500000000000001
IOOS-Sensors,ism-gcoos-sccf_13,1,15.4,3363.0,3363.0,623.0,848.0,336.0,0.28516205768658937,0.42352141400407883,0.6496350364963503,1.4851955321123222,1.223452724396498,1.8646520937387756,0.6996524735451342,0.6368802130394159,0.7555590776314248,0.35040938383926745,0.5200432708601386,0.6000000000000001
IOOS-Sensors,ism-gcoos-sccf_16,1,8.7,2093.0,2093.0,192.0,64.0,518.0,0.33922599139990445,0.75,0.2704225352112676,2.2109154929577466,1.5037058991907715,4.069059741410428,0.7638456916480808,0.647629424110784,0.8417209677199022,0.6367180474370504,0.851469861660079,0.8
IOOS-Sensors,ism-gcoos-sccf_18,1,12.7,2108.0,2108.0,304.0,811.0,92.0,0.18785578747628084,0.2726457399103139,0.7676767676767676,1.4513566154821758,1.2632359983711337,1.7198165410283586,0.7308799148022279,0.6475285773929113,0.8130438756106361,0.2043959067719721,0.3540050866398633,0.1
IOOS-Sensors,ism-gcoos-sccf_56,1,11.7,1545.0,1545.0,345.0,827.0,56.0,0.25954692556634307,0.29436860068259385,0.8603491271820449,1.1341633118568764,1.0284991177456568,1.2249211503691981,0.6436302164169994,0.5698548677809024,0.6966869883379674,0.22153605147802632,0.3621497461237698,0.3
IOOS-Sensors,ism-glos-obs_43,1,4.0,,,,,,,,,,,,,,,,,
IOOS-Sensors,ism-secoora-st-lucie-estuary-mid,1,3.6,976.0,976.0,254.0,361.0,58.0,0.319672131147541,0.41300813008130083,0.8141025641025641,1.2919741505107358,1.213352172377252,1.4064469395146686,0.731461905313562,0.6724312982266143,0.8006248888098204,0.32653061224489793,0.5098039215686274,0.3
IOOS-Sensors,ism-secoora-st-lucie-estuary-nor,1,3.4,962.0,962.0,184.0,398.0,42.0,0.23492723492723494,0.3161512027491409,0.8141592920353983,1.3457409603746615,1.2518366147516897,1.6138220074413037,0.6976541458253175,0.6483611927723396,0.75631407851963,0.2012779552715655,0.40441176470588236,0.25
IOOS-Sensors,ism-secoora-st-lucie-estuary-sou-1,1,3.7,968.0,968.0,174.0,135.0,158.0,0.34297520661157027,0.5631067961165048,0.5240963855421686,1.641829453737279,1.1354347287589794,2.427068781329608,0.7074879707509281,0.530790192932526,0.8057906639439685,0.4318181818181818,0.6614173228346457,0.5
IOOS-Sensors,mlml_mlml_sea,1,14.7,3612.0,3612.0,491.0,545.0,181.0,0.18604651162790697,0.47393822393822393,0.7306547619047619,2.5474179536679538,1.9063641926731352,3.610599026963803,0.8526970460803369,0.7987146219092233,0.9029022655338719,0.38195104304650956,0.5634217147413864,0.6000000000000001
IOOS-Sensors,mlml_monterey,1,4.3,482.0,482.0,103.0,63.0,42.0,0.3008298755186722,0.6204819277108434,0.7103448275862069,2.062567511425011,1.4026234567901235,3.4815737829509015,0.8269108769057607,0.6790322580645162,0.9011698265429609,0.17391304347826086,0.7768792229729722,0.5
IOOS-Sensors,newport-pier-automated-shore-sta,1,12.6,3063.0,3063.0,239.0,234.0,171.0,0.13385569702905648,0.5052854122621564,0.5829268292682926,3.774851750631671,3.060123054047661,4.751629071597103,0.8546224706498855,0.8134579420518676,0.8994351318812166,0.37137830800279803,0.641498257839721,0.8
PacIOOS,nss_001,1,3.2,886.0,886.0,100.0,291.0,76.0,0.1986455981941309,0.2557544757033248,0.5681818181818182,1.2874912810974193,1.095289079229122,1.3714285714285714,0.6448063380281691,0.5527143522833178,0.6857895631480537,0.14697406340057637,0.4225352112676056,0.35000000000000003
PacIOOS,nss_002,1,17.7,4128.0,4128.0,1208.0,2753.0,29.0,0.29966085271317827,0.3049734915425398,0.9765561843168957,1.0177288383893326,0.9968059982126676,1.0428713338559628,0.7030604275471475,0.6431966448918481,0.7567040101649927,0.23395569570679167,0.3771346973745946,0.1
PacIOOS,nss_005,1,14.6,1840.0,1840.0,375.0,210.0,345.0,0.391304347826087,0.6410256410256411,0.5208333333333334,1.6381766381766383,1.2510352870532886,2.1083172906581646,0.7263076636904762,0.6459504220868564,0.7821417257180622,0.5358569800227968,0.7263903101044087,0.5
PacIOOS,nss_006,3,12.0,2300.0,2300.0,583.0,1175.0,79.0,0.28782608695652173,0.3316268486916951,0.8806646525679759,1.1521778730980345,1.0444037620790176,1.2987762101137799,0.7456992906388676,0.6225919337876115,0.8245349178497708,0.17401782314867695,0.5200507683118852,0.1
PacIOOS,nss_007,1,14.6,2145.0,2145.0,351.0,320.0,206.0,0.2596736596736597,0.5230998509687034,0.63016157989228,2.0144509521146654,1.4993250234399014,3.012987900952776,0.7790305658687915,0.7005441013821498,0.8510381162695322,0.4367595048629532,0.6136518486754335,0.55
PacIOOS,nss_008,1,3.4,517.0,517.0,73.0,12.0,50.0,0.2379110251450677,0.8588235294117647,0.5934959349593496,3.609851745576279,1.3084239130434783,10.725806451612904,0.8720853452189345,0.7844881398252185,0.9280518369093466,0.6666666666666666,0.9622641509433962,0.6000000000000001
PacIOOS,nss_010,1,14.7,3277.0,3277.0,456.0,274.0,572.0,0.31370155630149527,0.6246575342465753,0.44357976653696496,1.99124780128991,1.5160424007633473,2.894520039649143,0.7154476784320918,0.6560397387383345,0.7709539825674616,0.5125172472404416,0.7104054077642786,0.6000000000000001
PacIOOS,nss_012,2,9.6,928.0,928.0,174.0,569.0,19.0,0.20797413793103448,0.23418573351278602,0.9015544041450777,1.1260329569941214,1.0338071274280924,1.2408800747605,0.5964646998695851,0.4855022816411347,0.6913004355843567,0.1591142115939595,0.3361861861861862,0.05
