source,station,product,days_checked,valid_days,max_pixels
nerrs,wqb_sl,viirs4k,31,4,4
nerrs,wqb_sl,dineof2k,31,31,8
nerrs,wqb_sl,olci4k,31,5,8
cefas_full,wgab,viirs4k,31,10,9
cefas_full,wgab,dineof2k,31,31,6
cefas_full,wgab,olci4k,31,10,9
cefas_full,wgab2,viirs4k,31,11,9
cefas_full,wgab2,dineof2k,31,31,9
cefas_full,wgab2,olci4k,31,8,9
cefas_full,lbay,viirs4k,31,12,9
cefas_full,lbay,dineof2k,31,31,9
cefas_full,lbay,olci4k,31,8,9
cefas_full,dows,viirs4k,31,10,9
cefas_full,dows,dineof2k,31,31,9
cefas_full,dows,olci4k,31,9,9
cefas_full,oyst,viirs4k,31,6,9
cefas_full,oyst,dineof2k,31,31,9
cefas_full,oyst,olci4k,31,15,9
cefas_full,cdeep,viirs4k,31,11,9
cefas_full,cdeep,dineof2k,31,31,6
cefas_full,cdeep,olci4k,31,11,9
cefas_full,cdeep2,viirs4k,31,9,9
cefas_full,cdeep2,dineof2k,31,31,6
cefas_full,cdeep2,olci4k,31,8,9
imos,NRSDAR,viirs4k,31,13,9
imos,NRSDAR,dineof2k,31,31,9
imos,NRSDAR,olci4k,31,12,9
imos,NRSESP,viirs4k,31,3,3
imos,NRSESP,dineof2k,31,31,9
imos,NRSESP,olci4k,31,11,9
imos,NRSMAI,viirs4k,31,6,9
imos,NRSMAI,dineof2k,31,31,9
imos,NRSMAI,olci4k,31,8,9
imos,NRSNSI,viirs4k,31,16,9
imos,NRSNSI,dineof2k,31,31,6
imos,NRSNSI,olci4k,31,12,9
imos,NRSROT,viirs4k,31,4,8
imos,NRSROT,dineof2k,31,31,9
imos,NRSROT,olci4k,31,11,9
imos,NRSYON,viirs4k,31,18,9
imos,NRSYON,dineof2k,31,31,9
imos,NRSYON,olci4k,31,12,9
imos,PH100,viirs4k,31,16,9
imos,PH100,dineof2k,31,31,9
imos,PH100,olci4k,31,15,9
lake_erie,WE02,viirs4k,31,6,9
lake_erie,WE02,dineof2k,31,31,9
lake_erie,WE02,olci4k,31,4,9
lake_erie,WE04,viirs4k,31,9,9
lake_erie,WE04,dineof2k,31,31,9
lake_erie,WE04,olci4k,31,6,9
lake_erie,WE08,viirs4k,31,5,7
lake_erie,WE08,dineof2k,31,31,6
lake_erie,WE08,olci4k,31,5,8
lake_erie,WE13,viirs4k,31,7,9
lake_erie,WE13,dineof2k,31,31,9
lake_erie,WE13,olci4k,31,5,9
sfbay,LittlePotato,viirs4k,31,0,0
sfbay,LittlePotato,dineof2k,31,0,0
sfbay,LittlePotato,olci4k,31,11,5
sfbay,JerseyPoint,viirs4k,31,0,0
sfbay,JerseyPoint,dineof2k,31,31,7
sfbay,JerseyPoint,olci4k,31,15,9
sfbay,SacAbDCC,viirs4k,31,0,0
sfbay,SacAbDCC,dineof2k,31,31,2
sfbay,SacAbDCC,olci4k,31,3,2
sfbay,CacheSloughLiberty,viirs4k,31,0,0
sfbay,CacheSloughLiberty,dineof2k,31,31,4
sfbay,CacheSloughLiberty,olci4k,31,16,5
sfbay,CacheSloughRyer,viirs4k,31,0,0
sfbay,CacheSloughRyer,dineof2k,31,31,3
sfbay,CacheSloughRyer,olci4k,31,16,5
sfbay,DeckerIsland,viirs4k,31,0,0
sfbay,DeckerIsland,dineof2k,31,31,6
sfbay,DeckerIsland,olci4k,31,15,8
sfbay,VanSickle,viirs4k,31,0,0
sfbay,VanSickle,dineof2k,31,31,9
sfbay,VanSickle,olci4k,31,13,6
sfbay,FirstMallard,viirs4k,31,0,0
sfbay,FirstMallard,dineof2k,31,0,0
sfbay,FirstMallard,olci4k,31,13,7
