source,station,product,days,valid,frac,frac_ffill3
nerrs,kac_h3,olci4k,1622,468,0.2885326757090012,0.6418002466091245
nerrs,kac_ss,olci4k,1629,424,0.26028238182934316,0.5991405770411296
cefas_full,wgab2,olci4k,1665,444,0.26666666666666666,0.7069069069069069
cefas_full,lbay,olci4k,1638,428,0.2612942612942613,0.6898656898656899
imos,NRSDAR,olci4k,1623,493,0.303758471965496,0.807147258163894
imos,NRSROT,olci4k,1664,585,0.3515625,0.8659855769230769
imos,NRSYON,olci4k,1313,361,0.27494287890327496,0.8271134805788272
sfbay,LittlePotato,olci4k,1619,468,0.2890673255095738,0.7344039530574429
sfbay,JerseyPoint,olci4k,1654,601,0.3633615477629988,0.8403869407496977
sfbay,SacAbDCC,olci4k,1633,249,0.1524800979791794,0.4782608695652174
sfbay,CacheSloughLiberty,olci4k,1638,573,0.3498168498168498,0.8223443223443223
sfbay,VanSickle,olci4k,1656,611,0.3689613526570048,0.8454106280193237
sfbay,FirstMallard,olci4k,1655,565,0.3413897280966767,0.8096676737160121
